Model,New T2I,AUC-PR,F1 Score
2024-10-29-10-17,0.282051282051282,0.0156517666185867,
2024-10-29-10-26,0.2884615384615384,0.0156329904572371,
2024-10-29-10-38,0.3333333333333333,0.0187207374002845,
2024-10-29-10-47,0.2777777777777778,0.0154823227647113,
2024-10-29-10-59,0.375,0.0182988014791577,
2024-10-29-11-11,0.2941176470588235,0.0161108912170249,
2024-10-29-11-20,0.4444444444444444,0.0178038413164712,
2024-10-29-11-34,0.2777777777777778,0.0158555002731662,
2024-10-29-11-47,0.3076923076923077,0.0160556713850718,
2024-10-29-11-54,0.2884615384615384,0.0156801688388838,
2024-10-29-12-03,0.2857142857142857,0.0160920276456496,
2024-10-29-12-14,0.3846153846153846,0.0167315742613552,
2024-10-29-12-24,0.2857142857142857,0.0167336935959546,
2024-10-29-12-33,0.3125,0.0166979057847626,
2024-10-29-12-38,0.2608695652173913,0.0164985449091942,
2024-10-29-12-48,0.2962962962962963,0.0164145161820769,
2024-10-29-12-58,0.3125,0.0167583516771458,
2024-10-29-13-07,0.25,0.016811272355074,
2024-10-29-13-19,0.3,0.0180866170259723,
2024-10-29-13-30,0.238095238095238,0.0156374504683605,
2024-10-29-13-39,0.3333333333333333,0.0164201090148884,
2024-10-29-13-49,0.2941176470588235,0.0166849589723647,
2024-10-29-13-57,0.3333333333333333,0.0178331744737935,
2024-10-29-14-07,0.3333333333333333,0.0181916239057236,
2024-10-29-14-23,0.3333333333333333,0.0202171720479788,
2024-10-29-14-32,0.3333333333333333,0.0199858636420831,
2024-10-29-14-39,0.3333333333333333,0.019560304842591,
2024-10-29-14-49,0.3214285714285714,0.0146576259331263,
2024-10-29-14-58,0.3333333333333333,0.0196216166842277,
2024-10-29-15-09,0.3333333333333333,0.0201287421370002,
2024-10-29-15-17,0.35,0.014809356333024,
2024-10-29-15-25,0.3333333333333333,0.017369811417307,
2024-10-29-15-34,0.3333333333333333,0.0197404978595145,
2024-10-29-15-43,0.3333333333333333,0.0190055987781882,
2024-10-29-15-50,0.3333333333333333,0.0197270176896272,
2024-10-29-16-00,0.3333333333333333,0.018963283404204,
2024-10-29-16-09,0.3333333333333333,0.0175726232421688,
2024-10-29-16-18,0.4285714285714285,0.0204101972922829,
2024-10-29-16-28,0.3333333333333333,0.0192160075451182,
2024-10-29-16-40,0.3333333333333333,0.0199448059181511,
2024-10-29-16-48,0.3333333333333333,0.0188785690102114,
2024-10-29-16-57,0.3333333333333333,0.0176202791851186,
2024-10-29-17-03,0.3333333333333333,0.0202699563452817,
2024-10-29-17-09,0.3333333333333333,0.0195671502535211,
2024-10-29-17-17,0.3333333333333333,0.0175583854114728,
2024-10-29-17-25,0.3333333333333333,0.0180276141688005,
